"time"	"y1"	"y2"	"y3"
"1"	0	1	0	0
"2"	5	0.772933579412017	0.188906751086267	0.0381596695017164
"3"	10	0.617199865338126	0.266782772787448	0.116017361874426
"4"	15	0.513385521759796	0.286390710623945	0.200223767616259
"5"	20	0.447147647311954	0.277321380320929	0.275530972367117
"6"	25	0.407925307052177	0.255759652984747	0.336315039963075
"7"	30	0.387966610167486	0.230241538919069	0.381791850913445
"8"	35	0.38159993436841	0.205007120672709	0.413392944958881
"9"	40	0.384689320327808	0.181943467988871	0.43336721168332
"10"	45	0.394229594375055	0.161692534244371	0.444077871380574
"11"	50	0.408046168493297	0.144275398345431	0.447678433161272
"12"	55	0.424573148750518	0.129433983355116	0.445992867894366
"13"	60	0.442689652270152	0.116812184787048	0.4404981629428
"14"	65	0.461599667770325	0.106046349655866	0.432353982573809
"15"	70	0.480743661455897	0.0968065050758314	0.422449833468272
"16"	75	0.499733560224572	0.0888110679007277	0.4114553718747
"17"	80	0.518305950428408	0.0818280148515705	0.399866034720021
"18"	85	0.536286914146906	0.0756707498290583	0.388042336024036
"19"	90	0.553566808166921	0.070190919753081	0.376242272079998
"20"	95	0.570082088248606	0.0652716924458535	0.36464621930554
"21"	100	0.585801702275307	0.0608212831370319	0.353377014587661
"22"	105	0.600717482040342	0.0567675990893902	0.342514918870267
"23"	110	0.614837167147227	0.0530538914468004	0.332108941405972
"24"	115	0.6281788016273	0.0496349740579514	0.322186224314748
"25"	120	0.640767824103306	0.0464747848507384	0.312757391045955
"26"	125	0.652634130971695	0.0435441749628493	0.303821694065455
"27"	130	0.663809901800483	0.0408193055394154	0.295370792660101
"28"	135	0.674328632750442	0.0382803564324745	0.287391010817083
"29"	140	0.684224089699945	0.0359105926854563	0.279865317614598
"30"	145	0.693529649744279	0.0336958344463575	0.272774515809364
"31"	150	0.702277895260957	0.0316237663142557	0.266098338424787
