"time"	"y1"	"y2"	"y3"
"1"	0	0.879147467776346	0	0
"2"	5	0.799460612527631	0.188602109062221	0.0312418662372579
"3"	10	0.697876668410327	0.266713303836751	0.118020265834373
"4"	15	0.468861092601154	0.317856022682258	0.223199901809723
"5"	20	0.387936944606288	0.255130344914882	0.254051649683246
"6"	25	0.352677942127901	0.243552579538607	0.289036520515552
"7"	30	0.392468396535864	0.188340681813844	0.327783135992762
"8"	35	0.441353053634526	0.18732813594686	0.476488226292414
"9"	40	0.390692104490905	0.178530898502221	0.455340746297079
"10"	45	0.389203527083469	0.181303903564212	0.520521957322737
"11"	50	0.408251295198613	0.113975899170485	0.459777923310577
"12"	55	0.417323460989029	0.118985561295709	0.399193247165542
"13"	60	0.448981577055536	0.13101631857472	0.442572518124178
"14"	65	0.460188697983476	0.11132661011159	0.439122487811934
"15"	70	0.492419638798259	0.0899280328891664	0.422867987623027
"16"	75	0.592053587301703	0.094921946113091	0.364634570729896
"17"	80	0.47117138250717	0.0804800423070962	0.506613343559276
"18"	85	0.469692936732799	0.0567649883031786	0.43553945510205
"19"	90	0.58780289668899	0.0779664693233287	0.331770982602456
"20"	95	0.582099958022669	0.0676464426892861	0.38579564386623
"21"	100	0.60753338204205	0.0653824302884969	0.360429604633621
"22"	105	0.62459984865222	0.0592426233641089	0.334252475264744
"23"	110	0.705011766573836	0.0573262801623121	0.336971886073034
"24"	115	0.571552248826901	0.0468081775788248	0.361930399907723
"25"	120	0.680460295428206	0.0442501048205748	0.332654247799867
"26"	125	0.574188462043055	0.040741710448066	0.293024716460353
"27"	130	0.708656250594281	0.0399871744699508	0.295481623702047
"28"	135	0.715065872584716	0.0413842186386292	0.256634907363201
"29"	140	0.717013233869287	0.0405956861063659	0.248912948983666
"30"	145	0.686600704954173	0.0280866139213579	0.275644834444878
"31"	150	0.668360399907116	0.0341563336130663	0.241779858264173
