"time"	"y1"	"y2"	"y3"	"y4"
"1"	0	1.04649659818804	0	0	0
"2"	1	0.93182381893049	0.049898119081349	0.00195159174741772	1.09834683161813e-05
"3"	2	0.929446211981509	0.0930986239020917	0.00783751954095953	7.58821414505619e-05
"4"	3	0.798234249901173	0.126244588024645	0.0151729762351581	0.000262607948257721
"5"	4	0.775675881353725	0.159509142786662	0.0261646044430995	0.000597544550401343
"6"	5	0.807769423957567	0.192080899491883	0.0384768769370202	0.00114674361396355
"7"	6	0.726533977169004	0.214417849666195	0.0532674943672326	0.00189196402749924
"8"	7	0.695740240113784	0.228689412032955	0.0672744086858172	0.00289898665666635
"9"	8	0.641283530400945	0.204708670244175	0.0737475115821704	0.00408953031068409
"10"	9	0.601618426813469	0.26764174796356	0.104004600288892	0.00545806194082424
"11"	10	0.641986397295703	0.244497721127017	0.135828570206195	0.0068053355192251
"12"	11	0.571281170915101	0.251490367933584	0.13991330067804	0.00848712760085929
"13"	12	0.566698267797956	0.284381917573448	0.143848592610268	0.0108157874938626
"14"	13	0.567116906581259	0.273734265024823	0.180632535966898	0.0134088234790303
"15"	14	0.587893836350537	0.27118045127778	0.173682585709734	0.0176691327609025
"16"	15	0.50950884656759	0.283095016247716	0.212227508856413	0.0186962951692264
"17"	16	0.502753021362508	0.275956763824948	0.195481780687795	0.0257157607334826
"18"	17	0.385387059535288	0.265423726902612	0.255808232961873	0.0268250784178349
"19"	18	0.455729179465933	0.294302457943188	0.254704359500033	0.0294973710689723
"20"	19	0.449662758639621	0.28070674103502	0.261773026044903	0.0323845440797752
"21"	20	0.471496295464259	0.27426018534742	0.281297550394842	0.0411108782219479
"22"	21	0.402380720805398	0.294358640432981	0.30483853931729	0.0435464865046441
"23"	22	0.411734754790894	0.252854902809211	0.312446730244508	0.0494891169680248
"24"	23	0.448149625848453	0.257670398352673	0.318563901531033	0.0521866464841333
"25"	24	0.393103585489256	0.256737055912645	0.310828888286093	0.0583120543928205
"26"	25	0.434732605078382	0.254941612849372	0.329508857030679	0.0627243155957514
"27"	26	0.395974040368199	0.238867286353852	0.331235039307957	0.0701144435265038
"28"	27	0.41238581832082	0.24365526318507	0.35726537108172	0.0770979625139197
"29"	28	0.402450449817903	0.235187878914186	0.346996080841936	0.0709034165164779
"30"	29	0.442876105218483	0.229997483067533	0.384960304798289	0.0833453298128004
"31"	30	0.434567399016491	0.228093714413783	0.387955417829838	0.0914840516858609
"32"	31	0.361358107921415	0.208636622729491	0.448845023123496	0.105643873213728
"33"	32	0.399390151680222	0.218602693983554	0.405416420897991	0.103646497740661
"34"	33	0.421538104607129	0.211574521754891	0.393100955781273	0.107287862351273
"35"	34	0.412926914703063	0.193450598258321	0.420132052355261	0.114543347988065
"36"	35	0.389496373003891	0.216374726059958	0.423134569626477	0.130646445747048
"37"	36	0.380268653268023	0.203992429349219	0.416442404341455	0.142191541511076
"38"	37	0.376955144869127	0.192141002441255	0.427347119116411	0.128609058953057
"39"	38	0.391249954678567	0.188004441449109	0.395700396279663	0.151103182266098
"40"	39	0.370278647932505	0.183441251650687	0.414033617497996	0.155128959656388
"41"	40	0.390690900431945	0.190779920366441	0.419390876346432	0.151098703218401
"42"	41	0.419368746387826	0.18631623737171	0.447745766350856	0.159421715951667
"43"	42	0.405673375134211	0.17698520036347	0.450480464487646	0.172941934386976
"44"	43	0.425019080341874	0.170645793539355	0.433781232788494	0.175896110239802
"45"	44	0.425339455922302	0.15924137686883	0.440487206496435	0.180509994873775
"46"	45	0.411295680322776	0.167684585794036	0.427550659091938	0.187073034067147
"47"	46	0.423214904222804	0.143401610451327	0.491170853998383	0.201341704544108
"48"	47	0.416304501913196	0.159106907194239	0.411570010875794	0.223735948892396
"49"	48	0.417163885578298	0.154034638838969	0.444564404964488	0.217455237789511
"50"	49	0.384330759980174	0.150414426466442	0.440932852720001	0.207255967650091
"51"	50	0.389149003046438	0.13840291898026	0.491628371086631	0.227757161068415
"52"	51	0.39608274684634	0.140249578954752	0.44888610559825	0.237497633120074
"53"	52	0.418821573908081	0.124993928671582	0.427644181669458	0.238265194728178
"54"	53	0.452038237961035	0.137581822536284	0.461808582162808	0.233288652598907
"55"	54	0.419213459376818	0.136830499336472	0.45056591522408	0.263379685807837
"56"	55	0.432745908208762	0.131661491167481	0.465706158421686	0.237465800036263
"57"	56	0.413391179655733	0.118189523138811	0.443513431027622	0.267859027625573
"58"	57	0.433744355859942	0.127000518191362	0.453540757478629	0.2734227165444
"59"	58	0.385174882396745	0.134755709480851	0.458923442318685	0.271916847784376
"60"	59	0.434165020406215	0.12037946730765	0.452207276240338	0.287522732174303
"61"	60	0.459231355329608	0.106789738685546	0.469076856732357	0.298519142617487
"62"	61	0.458240816305845	0.120879011447389	0.40483646504319	0.26466650065047
"63"	62	0.471113431690281	0.10407493943087	0.429760155770172	0.277589095143203
"64"	63	0.482602805075476	0.105397303351556	0.472387238219045	0.29088655108962
"65"	64	0.480045850296572	0.102259403658973	0.433329731674927	0.314927551091445
"66"	65	0.476582124760728	0.111650180502108	0.438219917711128	0.316998009306936
"67"	66	0.442519364071898	0.100128966935473	0.434496363238356	0.309441830840706
"68"	67	0.44114281861157	0.110635224910233	0.425291776107459	0.333590802842108
"69"	68	0.486194054685948	0.0985217838133844	0.403732259799855	0.346629026772375
"70"	69	0.418716798106762	0.0929934076218336	0.390756821614656	0.327434848726753
"71"	70	0.467741697840317	0.0988484350320537	0.42493260618981	0.364986969898922
"72"	71	0.480227489134821	0.08895326641065	0.409300084312704	0.349835788146787
"73"	72	0.478069510837096	0.100331764414321	0.423643346326769	0.36480722269015
"74"	73	0.489549808683775	0.0955514336225484	0.395324257788313	0.411728718586592
"75"	74	0.492836888039364	0.0882056507304101	0.450783258380718	0.390324529374616
"76"	75	0.505087950232086	0.0919285098457781	0.422725472393464	0.373083474295103
"77"	76	0.527490366552954	0.0879817949445039	0.3933701370896	0.357926159672741
