"time"	"x1"	"x2"	"x3"	"x4"	"x5"	"x6"
"1"	0	516	1	0	0	0	0
"2"	1	515.94858807096	0.947726383177235	0.0503491386754547	0.00191189933450479	2.04180063397726e-06	1.05370121715695e-05
"3"	2	515.902361373028	0.899031383773831	0.0936575062822194	0.00721426290289199	1.57202712916946e-05	8.11267697661051e-05
"4"	3	515.860885689185	0.853644273509815	0.130722924836053	0.0153194706685319	5.08600783662649e-05	0.000262470907234659
"5"	4	515.823761962344	0.8113158864092	0.162260043863201	0.0257122489093752	0.000115543193176922	0.000596277625046912
"6"	5	515.790624212838	0.771817321152123	0.188906848885786	0.0379433453172433	0.000216289727391024	0.0011161949174564
"7"	6	515.761135879157	0.73493767647582	0.211234672471894	0.0516202571127261	0.00035830554241531	0.00184908839714514
"8"	7	515.734987647435	0.700482707923782	0.229754265589319	0.0664015566115866	0.000545635858376237	0.00281583401693626
"9"	8	515.711895435636	0.668273582017599	0.244921406862655	0.081991657538544	0.000781306514818335	0.0040320470663832
"10"	9	515.691598115676	0.638145472114374	0.257143043463393	0.0981351541943162	0.00106747396882186	0.00550885625909489
"11"	10	515.67385566829	0.609946423781587	0.266782178378638	0.114612345668648	0.00140554267608267	0.00725350949504525
"12"	11	515.658447547994	0.583536351415699	0.274162128682624	0.131235361576585	0.00179626562801719	0.00926989269707508
"13"	12	515.645171023296	0.558786020554759	0.279570815303848	0.147844271049897	0.00223984481667275	0.0115590482748231
"14"	13	515.633839731511	0.535576164078931	0.283264407581451	0.164303809814748	0.00273601436973301	0.0141196041551366
"15"	14	515.624282358606	0.513796676356769	0.28547059298809	0.180500466103673	0.00328411363032342	0.0169481509211446
"16"	15	515.616341420912	0.493345870736182	0.286391545336463	0.196339854101525	0.00388315222429484	0.0200395776015357
"17"	16	515.609872150065	0.474129801192118	0.286206587489054	0.211744378718782	0.0045318670135385	0.0233873655865078
"18"	17	515.604741469888	0.456061640939963	0.285074587828612	0.226651152451011	0.00522877209993248	0.0269838466804812
"19"	18	515.600827057868	0.439061113348494	0.283136114776097	0.241010140408393	0.0059722025771717	0.0308204288898453
"20"	19	515.598016484022	0.423053970605138	0.280515373013228	0.254782510227475	0.00676035270864678	0.034887793445512
"21"	20	515.596206419409	0.40797151525341	0.277321946275061	0.267939162564146	0.00759130923190469	0.0391760666754787
"22"	21	515.595301913064	0.393750163770125	0.273652352850476	0.280459435527792	0.00846308000631067	0.0436749678452962
"23"	22	515.595215724147	0.380331043970095	0.2695914529105	0.29232994574867	0.00937361904282514	0.0483739383279104
"24"	23	515.595867708356	0.367659625606317	0.26521371211357	0.303543561314924	0.0103208480695187	0.0532622528956711
"25"	24	515.597184255892	0.355685382450012	0.260584330328394	0.314098497906187	0.0113026748841095	0.0583291144312973
"26"	25	515.599097774678	0.344361481930568	0.255760254876131	0.323997519361878	0.012317009025951	0.0635637348054731
"27"	26	515.601546214635	0.333644499719934	0.250791090738919	0.333247230817261	0.0133617750978484	0.0689554036260383
"28"	27	515.604472630249	0.32349415755152	0.245719916167158	0.341857456263236	0.01443492396846	0.0744935460496273
"29"	28	515.607824778204	0.313873082261001	0.240584013396418	0.349840691225853	0.0155344421159202	0.080167771000808
"30"	29	515.611554747137	0.304746584233363	0.235415523077258	0.357211622378692	0.0166583593398163	0.0859679109708704
"31"	30	515.615618616863	0.296082453621736	0.230242030089808	0.363986706814083	0.0178047550422428	0.091884054432131
"32"	31	515.619976144654	0.287850772839643	0.225087087699255	0.370183804406113	0.0189717632579962	0.0979065717969936
"33"	32	515.624590476343	0.280023743968398	0.219970686269233	0.375821857428977	0.0201575765926145	0.104026135740777
"34"	33	515.629427880237	0.272575529835951	0.214909672157323	0.380920612176433	0.0213604492100823	0.110233736620211
"35"	34	515.634457501981	0.265482107630357	0.209918121875618	0.385500377855828	0.0225786989968787	0.116520693641319
"36"	35	515.639651138849	0.258721134121175	0.20500767563174	0.389581818940723	0.0238107090041901	0.122878662302172
"37"	36	515.644983031129	0.252271821070241	0.20018783613037	0.393185775691398	0.0250549283028847	0.129299638805107
"38"	37	515.650429670411	0.246114820707377	0.19546623359488	0.396333111796925	0.0263098722855218	0.135775961615296
"39"	38	515.655969622797	0.240232120072851	0.190848861840423	0.399044584847736	0.0275741225221946	0.142300310716796
"40"	39	515.661583365617	0.234606943374219	0.186340288883303	0.401340736523203	0.0288463262486026	0.148865704970673
"41"	40	515.667253136902	0.229223661900538	0.181943843981228	0.403241800789604	0.0301251955297069	0.155465497798924
"42"	41	515.672962796531	0.224067710848278	0.177661783708904	0.404767627794937	0.0314095061565466	0.162093371491335
"43"	42	515.678697698126	0.219125512491085	0.173495439299071	0.40593762150526	0.032698096323791	0.168743330380793
"44"	43	515.684444570832	0.214384405187872	0.169445347196234	0.406770689391762	0.033989865128453	0.17540969309568
"45"	44	515.690191410211	0.209832577761832	0.165511364597764	0.407285202639089	0.0352837709258344	0.182087084075481
"46"	45	515.695927377536	0.205459008823806	0.161692771568029	0.407498965523652	0.036578829573898	0.188770424510615
"47"	46	515.701642706822	0.201253410648619	0.157988361152135	0.407429192759192	0.0378741125932589	0.195454922846796
"48"	47	515.707328619	0.197206177245404	0.154396518771393	0.407092493741061	0.0391687452663981	0.202136064975744
"49"	48	515.712977242663	0.193308336292617	0.15091529205164	0.406504862741787	0.040461904696487	0.208809604217469
"50"	49	515.718581540896	0.189551504635537	0.147542452118042	0.405681674218326	0.0417528178433798	0.215471551184717
"51"	50	515.724135243696	0.185927847068832	0.144275547284029	0.404637682488093	0.043040759551818	0.222118163607229
