"x1"	"x2"	"x3"	"x4"	"x5"	"x6"
"0"	515.966976011395	0.99970546669485	0	0	0	0
"1"	515.913906554007	0.945565669994474	0.0541399380869898	0	0	0
"2"	515.866464986518	0.895295000017762	0.100359568517728	0.00405111314935387	0	0
"3"	515.824185723749	0.848586600615399	0.139598481059818	0.0114410944783982	1.28773125006503e-05	6.64552632115444e-05
"4"	515.786569799031	0.805159970958953	0.172693035358422	0.0215490351142182	4.92452318758369e-05	0.000254137254652863
"5"	515.75319774465	0.764757898034884	0.200387237034761	0.0338349377042148	0.000117743368228253	0.000607631951669045
"6"	515.723708535571	0.72714455109503	0.223342529516382	0.0478304134361334	0.000225294822481628	0.00116266703378198
"7"	515.697735493053	0.692104005441766	0.242146667165396	0.0631304094906835	0.000377333901903531	0.00194728704210384
"8"	515.675031199234	0.659437663633522	0.257321387972744	0.0793857782913233	0.000578007188862918	0.00298289102420324
"9"	515.655271691209	0.628963797840048	0.269329704095634	0.096296748915574	0.000830351598507676	0.00428515142691206
"10"	515.638179278452	0.600515385710309	0.27858204536323	0.11360702734312	0.00113645101699127	0.00586482245090875
"11"	515.623534217137	0.573938985074903	0.285441974274166	0.13109859881576	0.00149757464282238	0.00772845398157961
"12"	515.611092442734	0.549093792627703	0.290231300635437	0.148587115970378	0.00191429897738592	0.00987902113902627
"13"	515.600659507452	0.525850208569976	0.293234496000145	0.165917731807356	0.00238661432514767	0.0123164738880198
"14"	515.592025039864	0.504089153869479	0.29470283552234	0.182961473824127	0.00291401902140969	0.0150382233141774
"15"	515.585078137641	0.483700749979881	0.29485788056193	0.199611918788478	0.00349560053949448	0.0180395601895031
"16"	515.579608244011	0.464584260736476	0.293894975504534	0.215782440824782	0.00413010920452296	0.0213140353831697
"17"	515.575523574386	0.446646622337789	0.291985920841924	0.231403544575209	0.00481601938255066	0.024853775637047
"18"	515.572658336155	0.429802204041316	0.289281642614925	0.246420613117455	0.00555158369838112	0.0286497633646931
"19"	515.570894131543	0.413972234647527	0.285914664803859	0.260792061919142	0.00633488409409709	0.0326921001464076
"20"	515.570149596726	0.399083751671645	0.282000835648288	0.274487279248608	0.00716386643039216	0.0369701852944871
"21"	515.570291139608	0.385069742795297	0.277641534273757	0.287485346964337	0.00803638198524378	0.0414729300132242
"22"	515.571245928209	0.371868217110927	0.272925114329694	0.299773511225242	0.00895021478550576	0.0461888984476073
"23"	515.572910236383	0.359421981747489	0.267928430309034	0.311345984672463	0.00990310744187417	0.051106441008457
"24"	515.575221515605	0.347678253288582	0.262718224622393	0.322202989498569	0.0108927871960384	0.0562138287925773
"25"	515.578125878876	0.336588085006387	0.2573521046535	0.332349578885629	0.0119169768489456	0.0614993099796688
"26"	515.581540186377	0.326106422347475	0.251879840913979	0.341795095583862	0.012973419278504	0.0669512363595404
"27"	515.585403596446	0.316191556193198	0.246344161019385	0.350552317046139	0.0140598868567653	0.0725581119308616
"28"	515.589670139614	0.306804865482697	0.240781581524723	0.358636822739467	0.0151741920838647	0.0783086477791723
"29"	515.594291898161	0.297910575770591	0.235223136924215	0.366066416487273	0.0163141948188918	0.0841917993928559
"30"	515.599217257687	0.28947564015813	0.229695122538408	0.372860777168262	0.017477814771073	0.0901968311257196
"31"	515.60442558104	0.281469329422421	0.224219549138072	0.379040869441205	0.0186630299668842	0.0963133082863056
"32"	515.609852261659	0.273863334847466	0.218814835306549	0.384628813131714	0.0198678902821958	0.102531166972513
"33"	515.615467383856	0.266631332520846	0.213496126865666	0.389647405515511	0.0210905143208763	0.108840697963173
"34"	515.621249712769	0.259748862118342	0.208275714958737	0.394119844054995	0.0223290900387338	0.115232549937993
"35"	515.627175064759	0.253193266340672	0.203163460265255	0.398069600306899	0.023581881018464	0.121697761860342
"36"	515.633201298142	0.246943594912261	0.198167137315078	0.401520267674993	0.0248472295070465	0.128227778652187
"37"	515.639315787605	0.240980300928065	0.193292609193068	0.404495230386141	0.0261235480405251	0.134814407972537
"38"	515.645500362968	0.235285226029408	0.188544134054683	0.407017594896252	0.027409321337743	0.141449829990343
"39"	515.651735859594	0.229841537592031	0.183924625435209	0.409110163394184	0.0287031112069255	0.148126622705641
"40"	515.657997342921	0.224633611730873	0.179435829801121	0.410795302938132	0.0300035530949899	0.154837744141754
"41"	515.664270909981	0.219646913519527	0.175078485320564	0.412094860193324	0.0313093548929817	0.161576526180573
"42"	515.67055268386	0.214867840209236	0.170852413139393	0.413029954806637	0.0326192839590243	0.168336607592585
"43"	515.676821115577	0.210283836584054	0.166756787936864	0.413621218686459	0.0339321850620502	0.175112026638128
"44"	515.683067597024	0.205883170595784	0.162790149390504	0.413888552197178	0.0352469645009012	0.181897139111678
"45"	515.689279536183	0.201654943870417	0.158950554908323	0.413851198439131	0.036562594876579	0.188686642969751
"46"	515.695445940296	0.19758899399153	0.155235642014539	0.413527665942191	0.0378781082903824	0.195475543228886
"47"	515.701565026861	0.193675801882885	0.151642680483998	0.412935656223892	0.0391925884831959	0.202259111399292
"48"	515.707623249082	0.189906613971889	0.148168766017454	0.41209236966034	0.0405051958152082	0.209033014396355
"49"	515.713621343426	0.186273092501558	0.144810654031808	0.411013930905861	0.0418151124073492	0.215793031434965
"50"	515.719546474537	0.182767666994832	0.141565106644232	0.40971617217863	0.0431216130134598	0.222535419775757
"51"	515.725399631914	0.179383087350324	0.138428631270676	0.408213827671119	0.0444239842023883	0.22925649765245
"52"	515.731170162394	0.176112707572353	0.135397757273037	0.406521184585157	0.0457215842575069	0.235952953392098
