"time"	"x1"	"x2"
"1"	0	1.1	2.5
"2"	0.1	1.35825478731998	2.36851100013367
"3"	0.2	1.61651203281358	2.23702178600796
"4"	0.3	1.87476924453346	2.10553215540112
"5"	0.4	2.13302644454039	1.97404238459042
"6"	0.5	2.39128357777967	1.8425518166082
"7"	0.6	2.64954061305241	1.7110600816017
"8"	0.7	2.90779750135421	1.57956668397296
"9"	0.8	3.16605419090528	1.44807108284353
"10"	0.9	3.42431055046943	1.3165719028006
"11"	1	3.68256639564476	1.18506721934657
"12"	1.1	3.94082129441411	1.05355460682409
"13"	1.2	4.19907227915672	0.922031574454037
"14"	1.3	4.45731194668458	0.790495158436035
"15"	1.4	4.71552736699921	0.658941633358912
"16"	1.5	4.97369854537801	0.527366431462914
"17"	1.6	5.23179706635101	0.39576405487376
"18"	1.7	5.48978454125974	0.264127953807658
"19"	1.8	5.74760877787401	0.132450279909743
"20"	1.9	6.00519776344784	0.000721507637007013
"21"	2	6.26245176322155	-0.131070063497514
"22"	2.1	6.51923373569176	-0.262938921808069
"23"	2.2	6.77535794513253	-0.394903062377213
"24"	2.3	7.03057672408795	-0.526984857271252
"25"	2.4	7.28456531722426	-0.659212050148819
"26"	2.5	7.53690468317592	-0.791618899379008
"27"	2.6	7.78706219571274	-0.924247482644978
"28"	2.7	8.03437024488623	-1.05714916665569
"29"	2.8	8.27800252124602	-1.19038623218216
"30"	2.9	8.51694798752892	-1.32403366617238
"31"	3	8.74998243218575	-1.45818111396471
"32"	3.1	8.97563759676293	-1.59293499252783
"33"	3.2	9.19216777926076	-1.72842078224891
"34"	3.3	9.39751381210866	-1.8647855505656
"35"	3.4	9.58926321394967	-2.00220125115924
"36"	3.5	9.76460662376369	-2.14086855903808
"37"	3.6	9.92029018728873	-2.28102139158772
"38"	3.7	10.0525638863947	-2.42293204564985
"39"	3.8	10.1571255699713	-2.56691692845512
"40"	3.9	10.2290605206568	-2.7133428220344
"41"	4	10.2627766419444	-2.86263370140414
"42"	4.1	10.1846751897654	-3.23510823924631
"43"	4.2	9.90042781214789	-4.22423662984614
"44"	4.3	9.61617209383653	-5.21336669167636
"45"	4.4	9.16118873843922	-6.1252967324212
"46"	4.5	8.78522348569886	-7.0826506691404
"47"	4.6	8.03442618459018	-7.89167672075352
"48"	4.7	7.297507321352	-8.66939459650907
"49"	4.8	6.56058775086214	-9.44711516647979
"50"	4.9	5.82366836435528	-10.2248369518109
"51"	5	5.08675008226005	-11.0025582969611
"52"	5.1	4.34983323688215	-11.7802790077379
"53"	5.2	3.35519764712461	-12.299472188158
"54"	5.3	2.15215710684273	-12.6069884810951
"55"	5.4	0.955253523008615	-12.9131831516909
"56"	5.5	-0.235358145892734	-13.2160471824344
"57"	5.6	-1.41854580522318	-13.5263300932372
"58"	5.7	-2.70786569961149	-13.4213139796108
"59"	5.8	-4.05587276244588	-13.0850365236956
"60"	5.9	-5.40385605390866	-12.7488077212216
"61"	6	-6.72374964870371	-12.3106730210237
"62"	6.1	-7.96559905165899	-11.5388674106804
"63"	6.2	-9.17901383969136	-10.7223421775894
"64"	6.3	-10.2626276479642	-9.71028953478535
"65"	6.4	-11.3462304712329	-8.69837764838435
"66"	6.5	-12.4299451182932	-7.68653588091653
"67"	6.6	-13.5051206352174	-6.64651705482307
"68"	6.7	-14.1856316342328	-5.23178316107308
"69"	6.8	-14.8661393585417	-3.81704861147555
"70"	6.9	-15.5466430388428	-2.40231326165966
"71"	7	-16.2271435640794	-0.987577582251198
"72"	7.1	-16.9076431365947	0.427157873320983
"73"	7.2	-17.5881427914915	1.8418930686783
"74"	7.3	-18.2686411815233	3.25662795091189
"75"	7.4	-18.9491371198916	4.6713624677386
"76"	7.5	-19.6296309703737	6.0860965807872
"77"	7.6	-20.3101222259906	7.50083024399045
"78"	7.7	-20.9906114071792	8.91556341918263
"79"	7.8	-21.6710997300798	10.3302960737616
"80"	7.9	-22.3515862791518	11.7450281563654
"81"	8	-23.0320711159806	13.1597596287279
"82"	8.1	-23.7125543010862	14.574490449927
"83"	8.2	-24.3930347115667	15.9892204843217
"84"	8.3	-23.8249335557651	17.869088324074
"85"	8.4	-22.1309758186117	20.1768403522095
"86"	8.5	-20.1374625598267	22.2080189702964
"87"	8.6	-17.8869452016254	23.9890577783498
"88"	8.7	-15.5530266316521	25.6711634883055
